timestamp,ox,oy,tx,ty
1,9.05,4.64,9.05,4.64
2,9.05,4.64,9.1,5.78
3,9.07665,5.24762,8.91,7.145
4,8.98782555,6.25892354,9.01,8.534
5,8.999644532,7.471539293,9.13,9.981
6,7.283573996,8.80908185,9.35,11.572
7,6.876589056,10.28171722,9.35,12.295
8,8.194917089,11.35479694,9.68,12.585
9,9.759316281,11.61820717,9.57,13.874
10,9.658410703,12.82054475,9.79,14.308
11,9.728547798,13.6133584,9.35,16.188
12,9.526781822,14.98564237,9.13,17.924
13,9.315297111,16.55178699,9.01,18.371
14,9.152573751,17.52142752,8.9,20.251
15,9.017951942,18.97628965,8.9,21.698
16,8.955083557,20.42696127,8.9,23.145
17,8.925724021,21.87567591,9.01,24.446
18,8.970643118,23.24565865,9.24,25.893
19,9.114210336,24.65669159,9.57,27.34
20,9.357146227,26.08689497,9.68,28.931
21,9.529227288,27.60280295,9.68,30.377
22,9.609589143,29.08144998,9.68,31.824
23,9.64711813,30.54322914,9.68,33.126
