timestamp,ox,oy,tx,ty
1,9.05,4.64,9.05,4.64
2,9.1,5.78,9.1,5.78
3,8.91,7.145,8.91,7.145
4,9.01,8.534,9.01,8.534
5,7.002201423,9.433302579,9.13,9.981
6,6.52,11.572,9.35,11.572
7,8.651776071,12.11562732,9.35,12.295
8,10.85157471,12.08582467,9.68,12.585
9,9.570932122,13.87260931,9.57,13.874
10,9.79,14.308,9.79,14.308
11,9.35,16.188,9.35,16.188
12,9.13,17.924,9.13,17.924
13,9.01,18.371,9.01,18.371
14,8.9,20.251,8.9,20.251
15,8.9,21.698,8.9,21.698
16,8.9,23.145,8.9,23.145
17,9.01,24.446,9.01,24.446
18,9.24,25.893,9.24,25.893
19,9.57,27.34,9.57,27.34
20,9.68,28.931,9.68,28.931
21,9.68,30.377,9.68,30.377
22,9.68,31.824,9.68,31.824
23,9.68,33.126,9.68,33.126
