 ,5000.0,10000.0,15000.0,20000.0,25000.0,30000.0,35000.0,40000.0,45000.0
My2,1222.4,2787.5,4632.4,5408.8,6270.3,7245.3,7682.3,8640.0,9268.9
MTCSC,13.7,8.7,15.1,21.6,23.4,24.7,21.2,23.6,25.4
MTCSC-Uni,26.7,19.6,25.5,29.6,37.9,37.7,39.7,41.0,46.8
SCREEN,16.1,16.9,27.1,33.4,35.5,44.0,35.8,42.4,51.3
SpeedAcc,113.5,192.1,354.3,371.7,435.1,576.4,481.2,587.6,596.7
LsGreedy,5.6,7.0,12.6,18.1,23.7,33.0,33.8,41.2,47.9
EWMA,1.4,0.4,0.9,1.0,1.6,1.2,1.1,1.4,1.6
HTD,203.2,809.3,2154.3,3536.2,5639.5,8750.5,9338.5,12235.0,14312.1
RCSWS,10.7,14.2,38.7,56.9,105.7,161.6,138.6,189.5,281.4
