 ,5000.0,10000.0,15000.0,20000.0,25000.0,30000.0,35000.0,40000.0,45000.0
My2,1258.9,2939.7,4546.1,5390.8,6621.4,7246.0,7942.7,8804.1,9157.5
MTCSC,13.6,22.4,15.5,17.6,19.9,19.8,21.9,24.8,25.9
MTCSC-Uni,19.2,22.7,24.7,27.5,35.9,36.0,36.3,39.9,44.8
SCREEN,14.1,18.3,26.1,32.0,35.4,45.2,36.6,45.5,48.6
SpeedAcc,109.1,222.5,320.9,391.3,432.9,498.2,505.0,556.1,587.8
LsGreedy,8.5,17.0,34.2,42.6,66.5,99.7,89.9,106.0,125.8
EWMA,0.8,0.6,0.8,0.9,1.0,1.4,1.2,1.4,1.7
HTD,204.4,864.6,2395.7,3733.7,5971.1,9014.0,10055.6,12186.7,14278.7
RCSWS,4.6,12.2,36.8,52.9,86.0,137.7,180.7,224.7,249.2
