 ,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275
My2,1324.1,1870.5,2768.1,3818.9,3755.1,4439.0,4501.2,5074.9,6063.4,6810.1
MTCSC,9.3,3.8,5.1,5.4,7.4,5.5,4.6,4.8,5.3,5.9
MTCSC-Uni,15.1,10.6,14.4,11.4,8.2,9.3,8.9,8.3,15.3,11.7
SCREEN,13.3,7.3,8.8,10.1,6.0,9.0,7.8,7.9,9.7,7.6
SpeedAcc,122.3,92.9,95.4,103.1,88.4,92.8,86.8,75.8,100.3,88.3
LsGreedy,4.3,4.7,4.9,6.3,9.0,10.9,11.9,12.1,14.5,20.5
EWMA,0.9,0.3,0.0,0.2,0.1,0.1,0.3,0.3,0.2,0.1
HTD,218.5,197.3,219.1,245.8,192.0,258.5,184.6,184.6,198.7,223.3
RCSWS,13.7,3.5,5.4,10.5,6.5,8.4,8.0,8.5,9.6,11.5
