 ,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275
My2,1448.8,2166.3,3194.1,4089.6,4423.0,4793.7,5240.9,6247.9,7276.9,7336.6
MTCSC,14.8,8.1,8.7,6.1,9.2,5.0,4.6,6.0,5.8,11.1
MTCSC-Uni,21.7,10.7,9.0,9.1,9.3,8.1,8.2,8.7,9.2,8.6
SCREEN,19.4,7.4,9.2,8.8,9.0,7.1,8.1,7.7,10.4,9.4
SpeedAcc,105.1,87.5,114.5,100.2,98.7,86.3,87.1,83.7,92.7,88.6
LsGreedy,10.5,8.6,16.9,17.6,23.7,24.3,24.3,10.3,5.1,2.5
EWMA,1.6,0.2,0.2,0.4,0.6,0.1,0.0,0.2,0.1,0.1
HTD,200.9,197.7,242.0,225.1,234.9,222.1,239.9,267.6,355.0,384.9
RCSWS,5.1,4.2,7.0,7.6,7.6,7.7,11.1,9.7,11.7,12.5
